,two_year_recid,race,age,juv_fel_count,decile_score,juv_misd_count,juv_other_count,priors_count,c_days_from_compas,is_recid,is_violent_recid,v_decile_score,start,end,event,sex_Female,sex_Male,age_cat_25 - 45,age_cat_Greater than 45,age_cat_Less than 25,c_charge_degree_F,c_charge_degree_M,type_of_assessment_Risk of Recidivism,score_text_High,score_text_Low,score_text_Medium,v_type_of_assessment_Risk of Violence
0,0.0,0.0,0.7846153846153846,0.0,0.18181818181818182,0.0,0.0,0.0,0.00010542962572482868,0.0,0.0,0.0,0.0,0.2751054852320675,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
1,1.0,0.0,0.24615384615384617,0.0,0.36363636363636365,0.0,0.0,0.0,0.00010542962572482868,1.0,1.0,0.0,0.013392857142857142,0.13333333333333333,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
2,0.0,0.0,0.07692307692307693,0.0,0.8181818181818182,0.125,0.0,0.02631578947368421,0.00010542962572482868,0.0,0.0,0.5555555555555556,0.0,0.989873417721519,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
3,0.0,0.0,0.3846153846153847,0.0,0.18181818181818182,0.0,0.0,0.05263157894736842,0.008012651555086979,0.0,0.0,0.0,0.0,0.929113924050633,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
4,0.0,0.0,0.4,0.0,0.18181818181818182,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001488095238095238,0.718987341772152,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
5,0.0,0.0,0.3846153846153847,0.0,0.4545454545454546,0.0,0.0,0.07894736842105263,0.00010542962572482868,0.0,0.0,0.2222222222222222,0.0,0.2227848101265823,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
6,0.0,1.0,0.32307692307692315,0.0,0.18181818181818182,0.0,0.0,0.0,0.00010542962572482868,0.0,0.0,0.0,0.002976190476190476,0.629535864978903,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
7,1.0,1.0,0.046153846153846156,0.0,0.36363636363636365,0.0,0.0,0.02631578947368421,0.03247232472324723,1.0,1.0,0.4444444444444445,0.0,0.36033755274261603,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
8,0.0,1.0,0.13846153846153847,0.0,0.4545454545454546,0.0,0.0,0.0,0.00010542962572482868,0.0,0.0,0.3333333333333333,0.0,0.7223628691983123,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
9,0.0,1.0,0.29230769230769227,0.0,0.18181818181818182,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001488095238095238,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
10,0.0,0.0,0.3538461538461538,0.0,0.4545454545454546,0.0,0.0,0.0,0.00010542962572482868,0.0,0.0,0.1111111111111111,0.0,0.7628691983122363,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
11,0.0,0.0,0.29230769230769227,0.0,0.18181818181818182,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6227848101265824,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
12,0.0,0.0,0.1076923076923077,0.0,1.0,0.0,0.0,0.07894736842105263,0.00010542962572482868,0.0,0.0,0.8888888888888888,0.0,0.38987341772151896,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
13,1.0,1.0,0.2,0.0,0.5454545454545455,0.0,0.0,0.15789473684210525,0.00010542962572482868,1.0,1.0,0.3333333333333333,0.0,0.20253164556962025,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
14,0.0,1.0,0.046153846153846156,0.0,0.4545454545454546,0.0,0.0,0.0,0.00021085925144965736,0.0,0.0,0.4444444444444445,0.0,0.7257383966244726,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
15,0.0,1.0,0.3846153846153847,0.0,0.18181818181818182,0.0,0.0,0.02631578947368421,0.00010542962572482868,0.0,0.0,0.1111111111111111,0.0,0.979746835443038,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
16,0.0,0.0,0.2153846153846154,0.0,0.36363636363636365,0.0,0.0,0.0,0.00010542962572482868,0.0,0.0,0.3333333333333333,0.001488095238095238,0.890295358649789,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
17,1.0,0.0,0.13846153846153847,0.0,0.36363636363636365,0.0,0.0,0.21052631578947367,0.00010542962572482868,1.0,1.0,0.2222222222222222,0.023809523809523808,0.09704641350210971,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
18,0.0,1.0,0.27692307692307694,0.0,0.36363636363636365,0.0,0.0,0.07894736842105263,0.010015814443858724,0.0,0.0,0.0,0.0,0.043881856540084384,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
19,1.0,0.0,0.23076923076923073,0.0,1.0,0.0,0.0,0.0,0.00010542962572482868,1.0,1.0,0.5555555555555556,0.05654761904761904,0.18059071729957807,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
20,0.0,1.0,0.5692307692307693,0.0,0.18181818181818182,0.0,0.0,0.0,0.00010542962572482868,0.0,0.0,0.0,0.001488095238095238,0.6936708860759494,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
21,0.0,1.0,0.12307692307692308,0.0,0.8181818181818182,0.0,0.11764705882352941,0.15789473684210525,0.040274117026884555,0.0,0.0,0.7777777777777777,0.0,0.06751054852320676,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0
22,0.0,1.0,0.16923076923076924,0.0,0.2727272727272727,0.0,0.0,0.0,0.00010542962572482868,0.0,0.0,0.1111111111111111,0.0,0.9873417721518988,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
23,0.0,0.0,0.046153846153846156,0.0,0.8181818181818182,0.0,0.0,0.05263157894736842,0.00010542962572482868,0.0,0.0,0.7777777777777777,0.11755952380952381,0.4413502109704641,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
24,0.0,0.0,0.5076923076923078,0.0,0.18181818181818182,0.0,0.0,0.05263157894736842,0.00010542962572482868,0.0,0.0,0.0,0.0,0.9510548523206751,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
